
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1742           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1947           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2088           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2343           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:3580           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8027           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:22350          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:22352          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:26666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:30950          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49723          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:52958          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:54478          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:59110          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:59111          0.0.0.0:0              LISTENING
  TCP    10.62.20.203:139       0.0.0.0:0              LISTENING
  TCP    10.62.20.203:49772     10.62.20.1:53          TIME_WAIT
  TCP    10.62.20.203:49778     10.0.100.5:1750        SYN_SENT
  TCP    10.62.20.203:49779     172.172.0.1:5800       SYN_SENT
  TCP    10.62.20.203:55794     10.62.20.2:1740        ESTABLISHED
  TCP    10.62.20.203:55850     10.62.20.2:5810        ESTABLISHED
  TCP    10.62.20.203:55881     10.62.20.2:1181        ESTABLISHED
  TCP    127.0.0.1:1742         127.0.0.1:57931        ESTABLISHED
  TCP    127.0.0.1:3580         127.0.0.1:55304        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55307        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55313        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55321        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55325        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55328        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55331        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55334        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55337        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55340        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55345        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55352        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55359        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55362        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55365        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55372        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55379        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55384        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55387        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55392        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55398        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55405        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55408        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55412        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55418        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55425        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55429        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55432        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55437        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55445        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55450        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55453        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55457        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55465        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55471        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55474        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55477        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55485        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55491        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55496        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55499        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55504        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55512        TIME_WAIT
  TCP    127.0.0.1:3580         127.0.0.1:55518        TIME_WAIT
